Date,Open,High,Low,Close,Adj Close,Volume,Interest_Rate,Oil_Price
2/27/2018,170.449997,170.729996,168.210007,168.289993,163.587631,42209900,2.9,62.94
2/28/2018,169.25,169.800003,167.100006,167.210007,162.537842,42936300,2.87,61.43
3/1/2018,167.300003,168.070007,163,164.479996,159.884094,76809900,0,60.98
3/2/2018,162.5,166.279999,161.960007,165.990005,161.351929,57445100,2.88,61.19
3/5/2018,165.210007,168.259995,164.589996,167.830002,163.140472,38540200,2.94,62.49
3/6/2018,168.649994,169.110001,167.479996,168.539993,163.830673,29480900,2.92,62.54
3/7/2018,167.25,169.070007,166.960007,168.929993,164.209717,34609400,2.88,61.09
3/8/2018,169.630005,169.979996,168.949997,169.860001,165.11377,25828400,2.86,60.13
3/9/2018,171.070007,173.160004,170.820007,173.160004,168.321564,38310500,2.9,62.02
3/12/2018,173.669998,174.479996,173.279999,174.080002,169.215851,37635000,2.87,61.35
3/13/2018,174.479996,175.210007,171.270004,171.710007,166.912079,55638900,2.81,60.69
3/14/2018,172.610001,172.740005,170.929993,171.679993,166.882919,40536400,2.86,60.89
3/15/2018,171.800003,172.529999,170.899994,171.529999,166.737106,28810400,2.88,61.16
3/16/2018,171.820007,172.199997,170.940002,171.020004,166.241348,31176700,2.88,62.29
3/19/2018,169.100006,169.220001,165.639999,167.100006,162.694412,71395100,2.89,62.01
3/20/2018,167.169998,168.039993,166.610001,167.649994,163.229904,34075700,2.86,63.37
3/21/2018,167.210007,168.759995,166.190002,166.919998,162.519135,43863500,2.9,65.1
3/22/2018,164.610001,165.770004,162.589996,162.800003,158.507782,66607300,2.87,64.25
3/23/2018,162.610001,163.300003,158.429993,158.509995,154.330887,80110400,2.84,65.8
3/26/2018,161.720001,164.600006,159.160004,164.399994,160.065613,57481500,2.81,65.49
3/27/2018,165.619995,165.619995,157.679993,159.080002,154.88588,78889100,2.82,65.21
3/28/2018,158.169998,159.779999,156.039993,157.25,153.104095,89369700,2.85,64.3
3/29/2018,158.100006,161.710007,156.630005,160.130005,155.908173,68692600,2.85,64.87
4/2/2018,158.990005,159.740005,153.880005,155.509995,151.409958,85549400,2.89,63.05
4/3/2018,156.869995,157.919998,154.440002,157.259995,153.113831,64090000,2.89,63.41
4/4/2018,154.220001,160.229996,154.039993,159.740005,155.528427,65768700,2.83,63.35
4/5/2018,161.330002,161.580002,159.479996,160.649994,156.414459,43054900,2.82,63.53
4/6/2018,158.880005,160.460007,155.880005,156.630005,152.500443,59870900,2.85,62.03
4/9/2018,157.979996,160.880005,157.460007,157.729996,153.571426,41810400,2.78,63.4
4/10/2018,160.210007,161.729996,159.070007,161.210007,156.959717,48296800,2.77,65.48
4/11/2018,160.199997,162,160.100006,160.279999,156.054199,41622100,2.74,66.81
